merchant_id,business_category,account_age_days,monthly_txn_count,avg_transaction_value,monthly_txn_volume,refund_rate,chargeback_rate,volume_growth_rate_30d,customer_complaint_count,risk_score,is_risky
M00000,Travel,1136,2691,10077.96,27119799.2,0.0224,0.0231,3.89,2,30.48,0
M00001,Electronics,1469,3512,3936.73,13825780.74,0.0449,0.011,-19.8,1,11.41,0
M00002,Services,870,2468,2172.67,5362143.51,0.1541,0.0115,29.79,0,62.99,0
M00003,Healthcare,1304,490,6126.21,3001844.57,0.0836,0.0128,-5.33,2,22.99,0
M00004,Retail,1140,1968,3885.86,7647365.45,0.1225,0.0433,-12.78,1,37.79,0
M00005,Education,1105,3919,4787.56,18762450.21,0.083,0.018,33.08,2,59.23,0
M00006,Travel,1734,2030,8576.65,17410596.58,0.1321,0.01,15.58,0,33.53,0
M00007,Electronics,1054,3820,4020.18,15357080.97,0.2008,0.0071,-18.95,4,31.9,0
M00008,Travel,1648,4138,6915.68,28617073.38,0.1799,0.0264,5.19,2,50.58,0
M00009,Food & Beverage,131,3816,2160.02,8242652.67,0.021,0.026,-14.11,3,33.46,0
M00010,Education,476,4008,1392.16,5579774.98,0.0722,0.0239,-25.93,1,30.27,0
M00011,Services,1248,254,3328.86,845531.48,0.0952,0.0243,-27.75,1,45.7,0
M00012,Healthcare,340,948,2993.56,2837891.01,0.049,0.0081,22.6,3,61.1,0
M00013,Healthcare,1492,3627,6889.3,24987506.56,0.0093,0.0591,-14.35,2,39.12,0
M00014,Healthcare,97,542,8966.44,4859812.29,0.0456,0.0036,-19.08,1,30.77,0
M00015,Education,1406,3543,8808.43,31208260.92,0.1096,0.0248,-0.15,2,43.16,0
M00016,Retail,1133,4546,234.18,1064585.03,0.1556,0.0163,69.68,3,100.0,1
M00017,Gaming,881,4908,1103.76,5417252.03,0.1595,0.015,17.18,1,58.49,0
M00018,Fashion,1697,1649,2163.03,3566831.92,0.1198,0.0514,26.02,1,62.16,0
M00019,Crypto/Trading,140,4648,2217.4,10306472.96,0.1909,0.0379,-18.18,3,72.29,1
M00020,Electronics,1695,1336,1603.08,2141719.51,0.039,0.0502,16.2,2,50.24,0
M00021,Retail,1342,2877,2194.88,6314657.0,0.0617,0.0133,5.38,5,42.23,0
M00022,Services,779,1144,8903.2,10185255.34,0.0165,0.0386,-12.08,2,33.18,0
